epoch,capsnet_acc,capsnet_loss,decoder_loss,loss,val_capsnet_acc,val_capsnet_loss,val_decoder_loss,val_loss
0,0.22123333342373372,147.20065770467122,0.0600837681380411,147.2242106374105,0.2492000003159046,147.0049905395508,0.05403161469846964,147.02617126464844
1,0.2553666663666566,146.80773747762044,0.05419954328487317,146.82898358662922,0.2648000018298626,146.9732192993164,0.053681581504642965,146.99426315307616
2,0.2605500001957019,146.8493886566162,0.053905334069083134,146.8705197906494,0.26389999970793726,146.86675109863282,0.05347817305475473,146.88771392822267
3,0.2588333330551783,146.82389427185058,0.053751423098146914,146.84496505737306,0.2716999994218349,146.6250958251953,0.05330809075385332,146.64599243164062
4,0.26143333395322166,146.7953624979655,0.053660464839388924,146.81639808654785,0.259500000923872,146.83838806152343,0.05328472636640072,146.8592756652832
5,0.2613666666547457,146.81784210205078,0.053608932830393315,146.83885693868,0.2577000001072884,146.83002243041992,0.053142349123954775,146.85085418701172
6,0.26195000020166237,146.84332748413087,0.05357111059129238,146.86432726542154,0.25629999965429306,146.77069610595703,0.053155341781675816,146.7915333557129
7,0.26240000024437904,146.86019976298013,0.05354296769325932,146.88118863423665,0.26130000039935114,146.73862503051757,0.05313698649406433,146.75945541381836
8,0.26225000016391276,146.8278519185384,0.05351990348969897,146.84883163452147,0.25739999949932096,146.82088150024413,0.05311139743775129,146.8417010498047
9,0.2663333335270484,146.8080622355143,0.05349740713834763,146.82903330485027,0.25880000099539757,146.85963027954102,0.05307906962931156,146.8804362487793
10,0.26189999965329963,146.77863711039225,0.05348896520212293,146.79960494995117,0.25599999994039535,146.8382681274414,0.05303912531584501,146.8590592956543
11,0.2625000000372529,146.8146644592285,0.053465237841010094,146.83562286376954,0.25929999992251396,146.96469757080078,0.053018466047942636,146.98547988891602
12,0.26201666715244454,146.75480560302734,0.05345455917219321,146.77575976053873,0.25979999989271163,146.61054153442382,0.05305424578487873,146.63133865356446
13,0.2633000002304713,146.79149169921874,0.05343817322825392,146.8124395751953,0.2643999998271465,146.9155583190918,0.05303286243230104,146.93634750366212
14,0.26396666718026,146.78620399475096,0.053428453678886094,146.80714775085448,0.2561999998986721,146.6589340209961,0.053039508089423176,146.67972534179688
15,0.2636333335439364,146.80190920511882,0.05341175732513269,146.82284680684407,0.26209999933838846,146.77834747314452,0.05303467992693186,146.79913711547852
16,0.2608666667342186,146.8408053588867,0.05341399655366937,146.8617436981201,0.25950000062584877,146.7457261657715,0.05299829017370939,146.76650146484374
17,0.26410000008841356,146.81118766784667,0.05340453298141559,146.8321221415202,0.2560999998450279,146.81238723754882,0.05297587838023901,146.83315368652345
18,0.2625500004986922,146.78592519124348,0.05339511110136906,146.8068561553955,0.26430000066757203,146.82894805908202,0.05299884755164385,146.84972290039062
19,0.2611000002423922,146.81642283121744,0.05339483149970571,146.8373536682129,0.25910000048577786,146.7903367614746,0.05300822407007218,146.8111164855957
20,0.26353333443403243,146.79382293701173,0.05338734124476711,146.81475072224936,0.25679999992251396,146.71963897705078,0.05297093763947487,146.74040283203124
21,0.26326666710277397,146.78855033874513,0.05338174839814504,146.80947591145832,0.2539000004529953,146.82168991088867,0.05299111057072878,146.8424627685547
22,0.26675000024338563,146.78948445638022,0.05337829377502203,146.81040885925293,0.25869999937713145,146.84604751586915,0.05298976235091686,146.86681915283202
23,0.2610166671002905,146.71576059977212,0.053376732481022676,146.73668413798015,0.2647000013291836,146.8609780883789,0.0529783695936203,146.8817460632324
24,0.2650500000019868,146.78228256225586,0.05337180038293203,146.80320393880208,0.26150000005960466,146.73416259765625,0.05297812860459089,146.75492965698243
25,0.26358333391447863,146.79011375427245,0.05337164400145412,146.81103538513185,0.258099999576807,146.90908172607422,0.052976076304912564,146.92984817504882
26,0.26120000079274175,146.83464429219563,0.05336229545995593,146.85556233723958,0.26420000225305557,146.66382400512694,0.05298330876976252,146.68459335327148
27,0.2605833334227403,146.83258188883462,0.053359359732518596,146.85349840799967,0.26569999814033507,146.7540640258789,0.05297895736992359,146.77483108520508
28,0.26563333414494994,146.8363469950358,0.053360941614955665,146.85726432800294,0.27130000069737437,146.78595352172852,0.052959687784314154,146.8067135620117
29,0.2644666666040818,146.82008308410644,0.05335972175002098,146.84100018819174,0.27170000031590463,146.70350967407228,0.05295950844883919,146.72427062988282
30,0.26611666726569333,146.7985975901286,0.05335528604065379,146.8195130666097,0.25400000050663946,146.7793801879883,0.05297364648431539,146.800146484375
31,0.2610833335171143,146.814473139445,0.05335302888726195,146.8353875732422,0.26099999971687793,146.7083248901367,0.052979270741343495,146.72909286499024
